qltg,1=龟甲冬青
hkdd,1=鼎足而三
hkpr,1=鼎足之势
hkdw,1=鼎足三分
hdja,1=鼎盛时期
hdga,1=鼎盛天工
hjqt,1=鼎晟铭德
huad,1=鼎新革故
hlse,1=鼎力相助
hlfr,1=鼎力支持
hlfe,1=鼎力支助
hfqd,1=鼎元乐达
kjuh,1=黾蝽次目
kpqv,1=黾穴鸲巢
llyd,1=黯黑魔龙
lqqf,1=黯然销魂
lqpw,1=黯然神伤
lqig,1=黯然泪下
lqfi,1=黯然无光
lqrq,1=黯然失色
lqwp,1=黯然伤神
lifi,1=黯淡无光
ligg,1=黯淡下来
lamg,1=黜邪崇正
wavq,1=黛芙妮尔
lldd,1=默默耕耘
lltt,1=默默等待
llfu,1=默默无闻
llfy,1=默默无语
llbe,1=默默承受
llve,1=默默忍受
llki,1=默默哭泣
llgy,1=默默不语
lyrg,1=默认推理
ldyp,1=默而识之
lqse,1=默然相爱
lcrp,1=黔驴技穷
lcpr,1=黔驴之技
lcdr,1=黔驴三撑
lsfy,1=黔西南州
lvwl,1=黔灵公园
lafy,1=黔东南州
ldik,1=黑龙江路
ldii,1=黑龙江省
ldpr,1=黑龙之爪
lyba,1=黑鹰坠落
lmai,1=黑风孽海
lbyw,1=黑陶文化
lqua,1=黑钱交警
lqdv,1=黑金古刀
lumf,1=黑道风云
luct,1=黑道圣徒
llhq,1=黑边眼镜
llns,1=黑车司机
leqb,1=黑豹乐队
lyxx,1=黑衣组织
laig,1=黑茶渍素
layo,1=黑芝麻糊
lqgn,1=黑色表层
lqax,1=黑色萎缩
lqoa,1=黑色火药
lqhw,1=黑色战斧
lqxl,1=黑色幽默
lqmb,1=黑色内障
levv,1=黑脸娃娃
lekn,1=黑脸噪鹛
lekt,1=黑胶唱片
lnij,1=黑翼法师
lxdd,1=黑线尴尬
lgjo,1=黑素颗粒
loas,1=黑粉菌酸
loss,1=黑米哥哥
ltgy,1=黑箱理论
ltsg,1=黑箱模型
ltqd,1=黑稀金矿
lhbq,1=黑瞎子岛
lrfw,1=黑白颠倒
lrgj,1=黑白画映
lrjp,1=黑白电视
lrjj,1=黑白电影
lrui,1=黑白瓶法
lrtq,1=黑白片儿
lrii,1=黑白混淆
lrlq,1=黑白图象
lrcq,1=黑白双煞
lrcb,1=黑白双子
lrwj,1=黑白分明
lrgu,1=黑白两道
lrgw,1=黑白不分
ljrd,1=黑电气石
lqat,1=黑猫警长
lrfu,1=黑牛城道
lcbi,1=黑熊出逃
logw,1=黑炮事件
loho,1=黑灯瞎火
liha,1=黑漆皮鞋
ligl,1=黑漆一团
lifa,1=黑海地区
lisg,1=黑油模型
liib,1=黑河学院
limx,1=黑汉岭乡
lilb,1=黑水国际
lsvo,1=黑榜奶粉
lsbf,1=黑楼孤魂
lsrm,1=黑椒牛肉
lsrs,1=黑椒牛柳
lsuj,1=黑森瘿蚊
lghu,1=黑棘皮瘤
lshq,1=黑框眼镜
lstx,1=黑板系统
lssl,1=黑板框架
lsdu,1=黑木郁美
lsbo,1=黑木耳粉
ljcj,1=黑曼巴蛇
ljcf,1=黑暗骑士
ljqo,1=黑暗饮料
ljbj,1=黑暗阴影
ljov,1=黑暗精灵
ljpn,1=黑暗神殿
ljii,1=黑暗深渊
ljgf,1=黑暗武士
ljss,1=黑暗森林
ljjv,1=黑暗暴君
ljjw,1=黑暗时代
ljog,1=黑暗料理
ljrl,1=黑暗势力
ljwd,1=黑暗侵袭
ljpu,1=黑暗之门
ljpp,1=黑暗之神
ljpv,1=黑暗之女
ljal,1=黑暗世界
ljqs,1=黑日危机
lgrl,1=黑恶势力
lyrp,1=黑底白字
ldor,1=黑帮火拼
lgyr,1=黑带高手
ladl,1=黑巧克力
lmgs,1=黑岩刺枪
lmfv,1=黑山老妖
lnkj,1=黑尾叶蝉
lprj,1=黑家白日
lppr,1=黑客被抓
lpaf,1=黑客攻击
lpul,1=黑客帝国
lbsj,1=黑子本影
lbfr,1=黑子南瓜
lvay,1=黑妹牙膏
luog,1=黑头粉刺
lurj,1=黑头盾蟒
lgrj,1=黑天白日
ltvy,1=黑处女座
lkbk,1=黑咕隆咚
lpyk,1=黑冠麻鹭
lwwl,1=黑侠佐罗
lwlt,1=黑体辐射
lway,1=黑人牙膏
lwku,1=黑人兄弟
lxrv,1=黑丝舞娘
lxue,1=黑丝美腿
tbyr,1=黏附磨损
toql,1=黏粒镶边
towj,1=黏粒假晶
twfx,1=黏合云母
tlyb,1=黎田康子
tndv,1=黎民百姓
tjtb,1=黎曼矩阵
tjbo,1=黎曼函数
tjqs,1=黎明杀机
tnup,1=黎以冲突
adpb,1=黄龙之耳
apvu,1=黄鹤录音
aidr,1=黄雀在后
abby,1=黄陂职高
abyf,1=黄陂广场
abki,1=黄陂中学
aqeq,1=黄铜脱锌
aqqd,1=黄钾铁矾
aqvy,1=黄钟毁弃
aqdk,1=黄钟大吕
aqmk,1=黄金账号
aqen,1=黄金脸蛋
aqjk,1=黄金暴跌
aqju,1=黄金时间
aqja,1=黄金时期
aqjw,1=黄金时代
aqrl,1=黄金拼图
aqyf,1=黄金市场
aqrk,1=黄金制品
aqwp,1=黄金分割
aqal,1=黄金世界
aqgw,1=黄金一代
aufj,1=黄道吉日
aauv,1=黄花闺女
aaoa,1=黄花烟草
aaja,1=黄花晚节
aaqo,1=黄芪多糖
aqty,1=黄色笑话
aquu,1=黄色瘤病
aqvs,1=黄色录相
aqil,1=黄色小鸭
aqnf,1=黄色书刊
aeqt,1=黄腹角雉
aeju,1=黄肠题凑
abpn,1=黄耳寄书
axuf,1=黄经章动
aius,1=黄粱美梦
aigs,1=黄粱一梦
aojm,1=黄粉虫网
aurv,1=黄童白叟
adsd,1=黄砷榴石
auis,1=黄盖淖村
ahbf,1=黄皮子坟
aruq,1=黄白交角
auax,1=黄癣菌丝
arks,1=黄牛蹄村
arkx,1=黄牛蹄乡
atat,1=黄牌警告
aoss,1=黄烷酮醇
aoyj,1=黄灯亮时
aigd,1=黄淮平原
aiji,1=黄海暖流
aipi,1=黄海之滨
aiil,1=黄浦江畔
aiao,1=黄波菌业
arkr,1=黄泉路近
airs,1=黄河鬼棺
aidu,1=黄河故道
aisx,1=黄沙桥乡
ajkq,1=黄歇口镇
asoq,1=黄桥烧饼
asmx,1=黄松峪乡
asfs,1=黄杨坪村
amfa,1=黄曲霉菌
aqik,1=黄昏激吻
aqiv,1=黄昏少女
aqpj,1=黄昏之时
aggb,1=黄斑裂孔
agqp,1=黄斑皱褶
agnw,1=黄斑异位
audj,1=黄帝故里
avfy,1=黄巢起义
amib,1=黄山学院
ambs,1=黄山卫校
adpi,1=黄寿祺注
apdx,1=黄家磴组
avmk,1=黄姑山路
afps,1=黄埔军校
afyd,1=黄土高原
affe,1=黄土地貌
akiq,1=黄口小儿
akbb,1=黄口孺子
antd,1=黄发垂髫
awrw,1=黄化质体
aipp,1=黄光裕案
awqw,1=黄体解体
ytrd,1=麻香捞面
ymub,1=麻风病院
ymbq,1=麻风孤岛
yiki,1=麻雀虽小
yjtd,1=麻里梨夏
ysyv,1=麻醉记录
ysak,1=麻醉药品
ysxr,1=麻醉维持
ysiy,1=麻醉深度
ysat,1=麻醉医生
yswe,1=麻醉作用
yucr,1=麻辣鸡爪
yucx,1=麻辣鸡丝
yurm,1=麻辣牛肉
yuoq,1=麻辣火锅
yufj,1=麻辣教师
yuvr,1=麻辣女兵
yaub,1=麻花辫子
yumf,1=麻美由真
yoms,1=麻粒岩相
yuls,1=麻痹思想
yudu,1=麻痹大意
yugw,1=麻痹不仁
yuug,1=麻疹病毒
ylky,1=麻田顺康
ylms,1=麻田岗村
ytkq,1=麻特哈鱼
yogb,1=麻烦死了
yodb,1=麻烦大了
yobk,1=麻烦了啊
ysfe,1=麻栗坡县
ysis,1=麻柳溪村
ysgw,1=麻木不仁
ydra,1=麻布拖鞋
yidu,1=麻小大羊
yuic,1=麻将游戏
yuvp,1=麻将婚礼
ypfx,1=麻家塔乡
yigy,1=麻婆豆腐
yofu,1=麻娄云凌
yvas,1=麻姑营村
yvfd,1=麻姑献寿
yvmf,1=麻姑山坛
yfja,1=麻城师范
ykqq,1=麻口铸铁
yuli,1=麻六甲海
gttj,1=麦长管蚜
gqvo,1=麦角甾烷
gsau,1=麦西莱普
golm,1=麦粒软骨
gtcd,1=麦科马克
gtws,1=麦科伊根
gsna,1=麦格尼菲
gsor,1=麦林炮手
gxba,1=麦弗逊式
gysd,1=麦库西克
gqbv,1=麦尔耶姆
gsdf,1=麦可布雷
ghtn,1=麦卡特尼
gdbg,1=麦克阿瑟
gdml,1=麦克贝恩
gfcj,1=麦二叉蚜
gqmj,1=麦乐迪量
ykkp,1=麟趾呈祥
yyfk,1=麟州坊品
ybmq,1=麟子凤雏
ymgt,1=麟凤一毛
ytdt,1=麝香石竹
ybis,1=麝子油醇
smlb,1=麓山国际
yknw,1=鹿鸣翠谷
ykni,1=鹿鸣书堂
ydcx,1=鹿雁马纹
yass,1=鹿蕊松林
ygyr,1=鹿死谁手
ymdx,1=鹿山三绝
yhpw,1=鹿卢之剑
ymmu,1=鹿丹崖间
yteh,1=鹰鼻鹞眼
yhkp,1=鹰瞵鹗视
yrhp,1=鹰扬虎视
yrab,1=鹰手营子
ydqk,1=鹰厦铁路
kxgi,1=鹭鸶天堂
cjsr,1=鹬蚌相持
cjsq,1=鹬蚌相争
wdgs,1=鹪鹩一枝
ygil,1=鹧棘雀图
mgjo,1=鹦鹉螺类
mgit,1=鹦鹉学舌
pkvr,1=鹤鸣九皋
prri,1=鹤舞白沙
pucv,1=鹤立鸡群
ptcv,1=鹤处鸡群
pkvg,1=鹤啸九天
pnch,1=鹤发鸡皮
pnuu,1=鹤发童颜
uqni,1=鹣鲽情深
ebtt,1=鹞子翻身
mtav,1=鹘入鸦群
yydx,1=鹑衣百结
etdj,1=鹏程万里
eijs,1=鹏游蝶梦
ewnu,1=鹏华收益
ewfl,1=鹏华动力
ewkl,1=鹏华中国
avvh,1=鹊巢鸠占
tclg,1=鹅颈畸形
ttlh,1=鹅行鸭步
tvbk,1=鹅妹子嘤
inpp,1=鸿飞冥冥
idwn,1=鸿雁传书
ilmf,1=鸿轩凤翥
ikqs,1=鸿路钢构
iulo,1=鸿翔车灯
itar,1=鸿篇巨制
itop,1=鸿特精密
iiop,1=鸿海精密
ijqd,1=鸿星尔克
ynmr,1=鸾飞凤舞
ysmi,1=鸾飘凤泊
yimi,1=鸾漂凤泊
ysmr,1=鸾歌凤舞
wnsl,1=鸽飞梦圆
wtdu,1=鸽和灰瓣
qmjj,1=鸳鸯蝴蝶
qmci,1=鸳鸯戏水
qmty,1=鸳鸯处方
qijp,1=鸳江影视
qxvw,1=鸱张鼠伏
ltox,1=鸭血粉丝
lxil,1=鸭绿江畔
lxik,1=鸭绿江口
ltmd,1=鸭梨山大
lknq,1=鸭嘴怪鱼
atde,1=鸦片面膜
atqj,1=鸦片贸易
athq,1=鸦片战争
akys,1=鸥鹭忘机
kqgu,1=鸣锣开道
kqnp,1=鸣金收军
kqnr,1=鸣金收兵
ksfa,1=鸣枪示警
agrx,1=鸢一折纸
clqm,1=鸡鸭鱼肉
ckcx,1=鸡鸣驿乡
ckdf,1=鸡鸣而起
ckqu,1=鸡鸣狗盗
cnnr,1=鸡飞蛋打
cnqk,1=鸡飞狗跳
cfqd,1=鸡零狗碎
cguo,1=鸡豆凉粉
csdi,1=鸡西大学
cnjr,1=鸡蛋里挑
cepn,1=鸡肤鹤发
conr,1=鸡精蛋白
chpn,1=鸡皮鹤发
chuu,1=鸡皮疙瘩
cdsu,1=鸡犬相闻
cdtg,1=鸡犬升天
cdgq,1=鸡犬不留
cdgp,1=鸡犬不宁
ciqq,1=鸡汤馄饨
ctah,1=鸡毛蒜皮
ctrb,1=鸡毛掸子
cufu,1=鸡新城疫
cvlw,1=鸡妈鸭仔
curr,1=鸡头牛后
cmly,1=鸡同鸭讲
ckrr,1=鸡口牛后
cqmt,1=鸡兔同笼
cwdu,1=鸡你太美
vylw,1=鸠摩罗什
vays,1=鸠工庀材
vhav,1=鸠占鹊巢
qwqa,1=鸟集鳞萃
qyat,1=鸟语花香
qhst,1=鸟眼构造
qsro,1=鸟枪换炮
qnxa,1=鸟尽弓藏
quqj,1=鸟兽鱼虫
qgrn,1=鸟不拉屎
mmtp,1=鳳凰衛視
qxid,1=鳞绿泥石
quet,1=鳞状膜片
qush,1=鳞状树皮
qusx,1=鳞次栉比
qsmf,1=鳞板内墙
qpbq,1=鳏寡孤独
quea,1=鳍状肢芽
gjdu,1=鳌里夺尊
grqg,1=鳌掷鲸吞
qune,1=鳃盖收肌
qure,1=鳃盖提肌
quge,1=鳃盖开肌
qxbe,1=鳃弓降肌
qxle,1=鳃弓连肌
qxne,1=鳃弓收肌
qxre,1=鳃弓提肌
iqnx,1=鲨鱼导弹
qyuw,1=鲜衣美食
qyvc,1=鲜衣怒马
qano,1=鲜花蛋糕
qapk,1=鲜花礼品
qaid,1=鲜花瀑布
qddh,1=鲜艳夺目
qmeq,1=鲜肉月饼
qmiu,1=鲜肉当道
qmpp,1=鲜肉冠军
qmyr,1=鲜肉主播
qjms,1=鲜明风格
qjcx,1=鲜明对比
qjwn,1=鲜明个性
qddx,1=鲜克有终
qcyg,1=鲍马序列
qaaf,1=鲍蒂斯塔
qxdy,1=鲍比布朗
qqla,1=鲅鱼圈区
qdda,1=鲁邦三世
qlki,1=鲁连蹈海
qndn,1=鲁迅故居
qnwl,1=鲁迅公园
qnki,1=鲁迅中学
qcdx,1=鲁豫有约
qagg,1=鲁莽灭裂
qacr,1=鲁苏豫皖
qcdm,1=鲁能泰山
qiqq,1=鲁沙尔镇
qpis,1=鲁宾酒杯
qpaf,1=鲁宾斯坦
qkjr,1=鲁中晨报
qdiv,1=鱼龙混杂
qdjt,1=鱼龙曼衍
qmrl,1=鱼骨拼图
qmgx,1=鱼骨天线
qtcx,1=鱼香鸡丝
qkdu,1=鱼跃龙门
qkan,1=鱼跃鸢飞
qxdb,1=鱼贯而出
qxdt,1=鱼贯而入
qmdv,1=鱼肉百姓
quiy,1=鱼翔浅底
qmiy,1=鱼网鸿离
qhig,1=鱼目混珠
qhiv,1=鱼目混杂
qiwk,1=鱼游釜中
qida,1=鱼沉雁落
qiin,1=鱼水深情
qini,1=鱼水情深
qins,1=鱼水情歌
qipc,1=鱼水之欢
qgmd,1=鱼死网破
qfti,1=鱼无舌少
qciy,1=鱼对水说
qtci,1=鱼和熊掌
qcsg,1=鱼叉模型
qwng,1=鱼传尺素
qwcf,1=鱼人骑士
qvod,1=鱼丸粗面
qgci,1=鱼与熊掌
ydcf,1=魔龙骑士
yrts,1=魔鬼身材
yrli,1=魔鬼罗汉
yrew,1=魔鬼爱人
yric,1=魔鬼游戏
yygd,1=魔高一丈
yubs,1=魔音耳机
ygpp,1=魔豆宝宝
yqwr,1=魔角侦探
yusp,1=魔装机神
yuil,1=魔装学园
yjpr,1=魔蛇之拥
yewd,1=魔脑传奇
ybpi,1=魔耳之光
ybdt,1=魔耳万秀
ythd,1=魔秀桌面
ypbj,1=魔神降临
ylcf,1=魔界勇士
ygsp,1=魔玩极客
yisn,1=魔法禁书
yior,1=魔法炒手
yivd,1=魔法灵龙
yjqw,1=魔晶猎人
ynmx,1=魔性网络
yxlp,1=魔幻车神
yxob,1=魔幻粒子
yxrs,1=魔幻手机
yxdb,1=魔幻大陆
ymds,1=魔岩三杰
yvdx,1=魔女面纱
yvca,1=魔女柔熙
yvut,1=魔女斗篷
yvpp,1=魔女之家
yfdb,1=魔塔大陆
yhia,1=魔卡沐昔
yhxs,1=魔卡幻想
ylqu,1=魔力鲜颜
ylpm,1=魔力宝贝
ywda,1=魔人布欧
rypm,1=魅族官网
rapq,1=魅惑之狐
rjdl,1=魅影面罩
rllt,1=魅力四射
rlku,1=魅力勋章
rlkl,1=魅力中国
fnra,1=魂飞魄散
fneh,1=魂飞胆战
fnef,1=魂飞胆丧
fnho,1=魂飞目断
fspa,1=魂飘神荡
fqho,1=魂销目断
fahs,1=魂萦旧梦
fdsa,1=魂牵梦萦
fdsx,1=魂牵梦绕
fdst,1=魂牵梦系
fows,1=魂断货梯
foas,1=魂断蓝桥
fptv,1=魂之利刃
fgbw,1=魂不附体
fgpw,1=魂不守舍
rfuv,1=鬼魂新娘
rccj,1=鬼马双星
ronp,1=鬼迷心窍
revb,1=鬼脸妹子
rhar,1=鬼瞳警探
rhqv,1=鬼眼狂刀
ryhq,1=鬼畜眼镜
rvon,1=鬼灵精怪
rifv,1=鬼泽夫妇
rrss,1=鬼气森森
rwpa,1=鬼斧神工
rbfs,1=鬼子进村
rvxk,1=鬼女红叶
rkpk,1=鬼哭神嚎
rkqk,1=鬼哭狼嚎
yhuv,1=高龄产妇
ytam,1=高黎贡山
yysr,1=高高飘扬
yydh,1=高高在上
yyii,1=高高兴兴
ydja,1=高雄师范
ydai,1=高雄医学
yblw,1=高附加值
yqsq,1=高锰酸钾
yqtu,1=高钾血症
ygxd,1=高速缓存
ygwk,1=高速公路
ycwn,1=高通公司
ytdu,1=高血压病
yauy,1=高薪养廉
yetu,1=高脂血症
yctg,1=高能物理
yfas,1=高考落榜
yxdu,1=高级顾问
yxll,1=高级轿车
yxbt,1=高级职称
yxpx,1=高级神经
yxib,1=高级法院
yxfj,1=高级教师
yxrj,1=高级技师
yxra,1=高级技工
yxtj,1=高级律师
yxfu,1=高级干部
yxuw,1=高级将领
yxpk,1=高级官员
yxwf,1=高级人才
yxki,1=高级中学
yxfk,1=高级专员
ytbs,1=高等院校
ytbo,1=高等职业
ytib,1=高等法院
ytoi,1=高等数学
ytis,1=高等学校
ytrw,1=高科技化
ydug,1=高磷闸瓦
ydgr,1=高碳青质
ydsq,1=高碘酸钾
ydyy,1=高碑店市
yhfh,1=高瞻远瞩
yhfk,1=高瞻远嘱
yhpm,1=高瞻祁见
yhtw,1=高瞻千佛
yhdu,1=高眼压症
ylfs,1=高田坎村
ylfe,1=高田二县
yqft,1=高狭盐种
yobo,1=高煤阶煤
yoaw,1=高煜芳作
yotw,1=高焕利任
yogs,1=高烯丙醇
yogv,1=高烧不退
yoor,1=高炉煤气
yvty,1=高灵敏度
yiub,1=高濑翔子
yirf,1=高潮迭起
yiqb,1=高潮乐队
yifp,1=高湾二社
yiyd,1=高温高压
yipm,1=高温补贴
yiua,1=高温疲劳
yimw,1=高温炭化
yiim,1=高温津贴
yiig,1=高温沥青
yifo,1=高温干燥
yife,1=高温堆肥
yinx,1=高清壁纸
yinp,1=高济民禅
yrtu,1=高氯血症
yrda,1=高气压区
ysqf,1=高歌猛进
ysfj,1=高校教师
yluk,1=高架道路
ysfn,1=高枕无忧
yeiy,1=高朋满座
yutr,1=高新科技
yurs,1=高新技术
yuuo,1=高新产业
yuyi,1=高效廉洁
yrkr,1=高抬贵手
yrsu,1=高手林立
yrvs,1=高手如林
yrvf,1=高手如云
ydtn,1=高成长性
ylia,1=高思小荷
yxjs,1=高强螺栓
yxyq,1=高强度钢
yxii,1=高张溶液
yybr,1=高度限制
yybi,1=高度阻滞
yyfp,1=高度远视
yyrp,1=高度近视
yyhp,1=高度肯定
yysp,1=高度机密
yynd,1=高度发达
yklj,1=高川町里
ympm,1=高崮之巅
ymii,1=高山流水
ymjt,1=高山景行
ymdk,1=高山大川
ynvw,1=高屋建瓴
ynvt,1=高层建筑
ynwp,1=高层住宅
yims,1=高尚风格
yqfg,1=高尔夫球
yqfm,1=高尔士山
ytox,1=高射炮弹
ytor,1=高射炮兵
ycxy,1=高对比度
yppq,1=高宝冠饰
ypvy,1=高宜旭为
ypjk,1=高官显贵
ypje,1=高官显爵
ypbu,1=高官子弟
ypdp,1=高官厚禄
yudc,1=高头大马
ygdf,1=高天厚地
ydaw,1=高大英俊
ytba,1=高处坠落
yfmp,1=高埔岗客
yfii,1=高城深池
yktf,1=高唱入云
ykwo,1=高品位煤
ykds,1=高吕艳杏
yqdv,1=高名大姓
ycki,1=高台跳水
ysdv,1=高可百寻
ysen,1=高可用性
ydii,1=高原沼泽
ydtm,1=高原季风
ydfa,1=高原地区
ydqf,1=高压钻井
ydqo,1=高压钠灯
ydlj,1=高压输电
ydrl,1=高压罐车
yddf,1=高压硅堆
ydjk,1=高压电路
ydji,1=高压电泳
ydoo,1=高压火炬
ydit,1=高压油管
ydid,1=高压油泵
ydis,1=高压水枪
ydru,1=高压氧疗
ydrw,1=高压手段
yqwv,1=高危人群
yhdc,1=高卢雄鸡
ywbe,1=高分子膜
ybgt,1=高出一筹
yupm,1=高冷安迪
ywns,1=高兮翠松
ywpa,1=高公宗营
yqun,1=高免疫性
ywmm,1=高位髌骨
ywum,1=高位站岗
ywgt,1=高人一等
ygks,1=高五足村
ygyx,1=高于庄组
yfar,1=高二劳技
yqmq,1=高乐山镇
ypmo,1=高之山料
ykbw,1=高中阶段
ykyy,1=高中语文
ykay,1=高中英语
ykfj,1=高中老师
ykxo,1=高中毕业
ykjw,1=高中时代
ykoi,1=高中数学
ykgi,1=高中政治
ykit,1=高中学生
ykfg,1=高中地理
ykmi,1=高中同学
ykdk,1=高中历史
ykws,1=高中低档
ykdr,1=高中三年
ygyi,1=高不高兴
ygss,1=高不可攀
